,chi_square,p_value,overall_agreement_rate,both_correct_rate,agreement_rate_when_either_wrong,agreement_rate_when_both_wrong,contingency_table,model1,model2
0,21883.322076737044,0.0,0.781743456629894,0.699978369024443,0.2725306416726748,0.6465222348916762,"col_0    <|end|>     A     B     C     D
row_0                                   
A             33  2166    65    93    61
B             61   321  2696   174   165
C             83   424   351  2984   278
D             48   338   276   253  2996
G              0     1     0     0     0
Tuesday        0     1     0     0     0
c              0     0     0     0     1",microsoft/phi-3-medium-4k-instruct,01-ai/yi-large-preview
1,23964.301219921534,0.0,0.8159925012618069,0.7402119835604586,0.2917013599777963,0.7044235924932976,"col_0       A     B     C     D
row_0                          
A        2216   107    52    43
B         279  2884   120   134
C         443   318  3108   251
D         308   273   220  3109
G           0     1     0     0
Tuesday     1     0     0     0
c           0     0     0     1",01-ai/yi-large-preview,qwen/qwen2.5-72b-instruct-turbo
2,19450.183809621456,0.0,0.7602566875766097,0.6682529382075132,0.27733101499673984,0.6632016632016632,"col_0       A     B     C     D  E  The  There
row_0                                         
A        2020   100   132   166  0    0      0
B         354  2426   263   373  1    0      0
C         382   289  2894   554  1    0      0
D         222   188   294  3204  1    1      1
G           1     0     0     0  0    0      0
Tuesday     1     0     0     0  0    0      0
c           0     0     0     1  0    0      0",01-ai/yi-large-preview,anthropic/claude-3-haiku-20240307
3,17513.455564384032,0.0,0.7297570120412431,0.6428004903021126,0.24343964473153007,0.6235780765253361,"col_0       A     B     C     D
row_0                          
A        2058   170    95    95
B         437  2568   195   217
C         418   657  2699   346
D         351   466   298  2796
G           0     1     0     0
Tuesday     1     0     0     0
c           0     0     0     1",google/gemma-2-9b,01-ai/yi-large-preview
4,20981.453062980123,0.0,0.7798687720816209,0.6909654625423607,0.2876808212785814,0.6838602329450915,"col_0       A     B     C     D
row_0                          
A        2138    84   116    80
B         452  2544   263   158
C         357   335  3219   209
D         305   295   396  2915
G           0     1     0     0
Tuesday     0     0     1     0
c           0     0     0     1",01-ai/yi-34b,01-ai/yi-large-preview
5,11261.190033641666,0.0,0.6350133391015935,0.5538250775109957,0.1819650937297996,0.567826525466465,"col_0       A     B     C     D
row_0                          
A        1810   201   208   199
B         588  2114   409   306
C         679   524  2504   413
D         510   489   533  2379
G           0     1     0     0
Tuesday     0     0     1     0
c           0     0     0     1",01-ai/yi-large-preview,qwen/qwen1.5-7b
6,16672.601083428493,0.0,0.7117311990770784,0.6315523830124739,0.21761252446183954,0.5892951775304717,"col_0       A     B     C     D
row_0                          
A        2151    90    86    82
B         652  2360   188   205
C         675   474  2682   279
D         536   350   330  2678
G           1     0     0     0
Tuesday     1     0     0     0
c           0     0     0     1",google/gemini-1.0-pro-001,01-ai/yi-large-preview
7,33344.69111296784,0.0,0.7583098997764799,0.6685413512149397,0.2708288013922123,0.6542301629006831,"col_0       A  Ar     B     C     D  I  There  Unfortunately  Wednesday
row_0                                                                  
A        2029   0   183   103   102  1      0              0          0
B         306   1  2689   217   203  0      0              1          0
C         314   0   627  2826   351  0      1              0          0
D         272   0   407   257  2973  1      0              0          0
G           0   0     1     0     0  0      0              0          0
Tuesday     0   0     0     0     0  0      0              0          1
c           0   0     0     0     1  0      0              0          0",anthropic/claude-2.1,01-ai/yi-large-preview
8,23479.710809524164,0.0,0.809647415098421,0.7497296128055375,0.2394122731201383,0.6930775646371977,"col_0       A     B     C     D
row_0                          
A        2240    81    55    42
B         337  2787   148   145
C         444   309  3108   259
D         355   249   213  3094
G           1     0     0     0
Tuesday     1     0     0     0
c           0     0     0     1",01-ai/yi-large-preview,google/gemini-1.5-pro-002
9,22414.567784127583,0.0,0.7931357704232461,0.7050976999062658,0.29853300733496335,0.6742131419105467,"col_0    0  2     A     B     C     D  N  Pro  Sorry  There  This
row_0                                                            
A        0  1  2222    87    63    45  0    0      0      0     0
B        0  0   265  2918   125   109  0    0      0      0     0
C        1  0   427   476  2986   225  0    1      0      2     2
D        0  0   305   435   287  2874  1    0      1      0     4
G        0  0     1     0     0     0  0    0      0      0     0
Tuesday  0  0     1     0     0     0  0    0      0      0     0
c        0  0     0     0     0     1  0    0      0      0     0",01-ai/yi-large-preview,qwen/qwen1.5-110b-chat
